area,bedrooms,bathrooms,age,location_score,price
3273,3,3,9,1,200.77
2070,3,3,27,1,119.08
3190,2,1,4,7,219.14
4340,5,3,2,1,267.11
1528,4,1,22,1,97.53
1002,4,2,5,3,108.96
4993,3,2,3,10,390.72
1370,2,2,17,4,117.73
4988,4,2,27,4,298.76
706,3,3,8,2,66.83
1984,5,1,16,1,127.08
1363,4,1,28,3,109.76
3290,3,1,12,4,218.03
1063,3,2,26,3,110.38
4691,1,2,14,8,325.54
2257,5,1,29,10,226.0
2178,1,2,19,1,115.33
3742,2,1,16,2,215.77
1559,1,1,12,7,141.88
2222,1,1,15,4,154.4
3814,4,1,21,8,289.07
3657,3,1,3,3,228.19
3125,5,1,4,6,236.95
3229,1,1,4,9,236.6
2097,5,2,8,1,155.29
3560,1,1,16,1,193.03
3193,2,1,12,8,251.93
4127,1,2,1,3,233.24
1863,4,2,12,5,178.95
2481,3,2,21,1,141.9
2163,2,1,20,5,159.26
2029,1,3,26,6,154.76
2538,5,3,22,8,215.03
3802,2,2,18,3,240.67
2737,2,3,2,3,200.72
1806,1,2,9,10,197.14
4529,2,1,1,9,323.16
3175,5,3,12,4,225.98
1782,2,1,18,4,130.6
1209,5,3,25,7,142.95
4913,1,1,16,2,263.73
4248,3,3,20,8,310.93
1163,2,1,13,6,135.83
2498,3,1,30,3,159.04
3945,5,3,11,9,302.99
4243,2,1,20,5,269.69
1995,4,1,11,8,195.69
3804,3,1,10,7,287.9
4263,2,3,6,8,326.44
2353,3,3,3,7,227.79
1791,2,1,18,3,118.93
4081,1,1,0,2,252.95
3957,3,3,27,7,284.86
2136,4,3,30,3,170.06
4196,4,1,23,3,247.27
3499,5,1,28,2,206.96
3652,2,1,2,4,238.34
1198,3,2,12,8,158.42
2660,5,3,14,1,185.55
4597,3,2,1,1,260.03
1354,2,3,10,5,146.35
3974,4,3,3,5,286.52
2207,1,3,18,1,126.22
3277,4,3,28,6,248.4
2233,5,3,16,1,145.92
4010,1,3,2,5,290.0
702,5,3,27,9,121.96
3755,2,2,17,5,253.98
4718,1,1,7,6,283.75
4996,5,1,21,8,346.04
1266,2,2,24,1,78.44
4889,4,2,23,2,296.03
2827,2,2,25,9,229.93
3431,3,2,18,3,228.63
697,2,3,4,6,103.06
2430,2,1,6,5,195.97
4082,3,3,20,2,236.36
1108,5,1,7,7,151.63
3772,5,1,27,4,240.74
1647,2,2,4,1,121.17
4782,3,3,16,4,308.98
3897,3,2,4,6,280.29
3011,4,3,3,7,239.53
2294,5,1,21,7,196.05
1159,1,2,18,7,121.66
3311,5,2,30,3,191.07
1869,5,1,26,6,182.06
2486,4,1,20,8,215.02
646,1,1,1,4,77.42
3719,4,2,10,8,303.91
3411,1,3,21,2,192.29
2234,2,2,12,10,215.3
2343,1,3,14,9,214.9
988,4,2,11,9,150.57
3476,5,2,21,8,279.74
2459,1,1,20,10,218.21
2885,1,3,21,10,245.68
3419,3,2,10,1,193.01
2302,5,2,6,2,164.04
4561,2,1,27,6,289.38
3869,4,1,4,10,310.25
762,2,3,16,5,98.51
1123,5,2,23,9,166.83
1516,1,3,19,5,131.48
4143,1,2,8,2,236.46
2549,5,3,13,10,251.18
4223,1,1,25,4,257.7
3608,1,2,11,9,278.87
4590,1,3,5,1,248.96
2556,4,1,16,1,157.24
3670,4,1,18,7,267.76
2182,3,3,18,3,139.76
2755,2,2,25,10,246.66
1654,5,2,15,2,118.0
4999,5,1,11,9,372.79
3691,5,2,11,3,239.63
2196,3,2,19,2,151.1
4491,4,2,5,8,323.75
2148,3,1,30,10,212.1
1945,5,3,22,6,195.35
4699,2,2,25,6,297.76
4423,1,1,3,10,322.74
753,4,1,5,7,135.7
3683,4,3,10,7,287.51
3057,3,2,0,6,230.36
598,4,2,29,4,63.55
2700,5,3,23,9,244.4
3461,5,3,22,6,265.82
4933,3,1,14,4,290.9
4277,5,1,26,3,259.74
3369,2,3,10,4,218.88
3734,3,2,24,3,208.38
4291,2,1,18,2,232.8
1456,1,1,17,5,130.03
4567,2,2,16,2,234.65
660,1,1,18,6,95.52
4993,1,2,20,3,270.79
1800,2,2,13,6,167.58
4487,3,2,26,10,341.49
2027,5,3,17,9,218.13
1718,5,3,27,1,117.7
4996,1,3,18,6,309.74
3604,1,2,14,9,262.74
3235,3,2,30,4,226.73
1454,4,3,14,2,109.05
3946,2,1,3,4,265.48
1545,1,2,6,1,88.65
2193,5,1,12,3,167.9
3936,3,1,2,10,303.42
1062,2,2,15,9,158.83
2985,3,2,30,10,253.99
3854,2,1,8,5,249.57
725,2,1,7,6,112.85
1459,1,3,19,3,105.76
3567,3,3,12,5,235.07
1315,3,2,16,8,168.36
3620,5,3,16,6,258.54
516,5,3,16,4,99.97
1743,1,3,0,2,133.88
2705,1,3,7,9,235.0
3024,4,1,18,1,188.02
1569,5,2,30,1,111.27
3944,2,3,5,4,249.74
3065,3,1,2,7,255.26
1560,1,1,26,1,72.58
2827,3,1,4,9,244.58
3920,3,3,12,4,254.94
801,4,3,14,3,101.1
4776,5,2,13,1,286.45
1106,1,3,28,10,168.83
3670,3,3,30,4,237.74
1199,1,1,22,9,145.15
1639,2,2,15,10,174.19
690,4,3,17,6,104.86
2800,2,3,21,6,229.17
1480,1,1,28,1,60.64
3475,1,1,21,10,264.41
1684,5,3,10,2,147.65
3827,3,2,2,6,275.45
3894,3,2,21,2,236.48
627,2,1,9,3,76.28
2565,4,1,9,4,202.45
2316,3,3,29,5,181.25
1069,5,1,20,9,169.08
2395,2,3,15,4,167.01
3233,2,2,11,9,270.01
4363,5,2,1,10,346.69
4514,4,3,8,3,279.17
3401,5,1,23,8,276.5
2186,4,2,2,1,155.32
3509,5,1,23,9,299.83
654,5,2,29,9,157.43
3037,1,3,24,10,266.02
1909,2,3,29,2,105.75
4557,5,3,14,4,316.13
1284,5,2,2,8,185.38
3675,3,1,18,7,256.09
4841,2,1,17,1,264.84
3306,3,1,7,5,220.43
1037,2,2,25,7,133.54
2341,3,2,16,4,158.89
2955,5,2,7,1,179.17
1024,5,2,6,9,178.3
3450,1,2,29,5,231.73
4631,3,1,6,2,270.8
4615,4,2,2,8,334.89
2868,1,2,0,2,155.25
4347,3,1,3,3,262.76
4995,3,2,24,10,366.08
3201,1,1,4,1,173.88
1471,5,1,0,2,122.32
1666,3,3,14,7,171.44
3274,5,3,4,10,295.48
2482,1,3,12,2,155.86
1353,5,3,7,6,158.42
4646,2,2,7,3,291.23
4236,4,3,4,4,259.74
4269,3,1,27,8,293.49
1074,4,2,8,3,99.0
3761,5,3,30,10,312.24
1648,3,1,0,6,162.17
2215,5,2,3,1,168.47
4354,2,2,2,7,324.21
2991,1,3,1,8,238.32
3160,3,2,30,8,246.01
3624,2,1,7,3,223.66
3551,2,2,22,10,276.57
504,3,1,8,1,56.48
1376,5,2,1,9,188.9
1491,2,3,13,6,139.37
4642,4,1,13,9,336.8
4864,2,2,3,7,319.72
4965,5,2,29,1,287.12
1135,5,2,30,1,103.77
2193,4,1,5,6,193.6
2182,2,1,10,5,169.21
619,5,1,2,9,150.47
1330,3,3,7,2,121.82
4175,1,3,2,8,316.36
1869,1,1,13,5,144.79
1240,1,2,27,2,84.03
616,2,3,12,10,153.33
3338,4,1,12,6,233.52
1650,5,2,1,10,227.13
2431,3,3,12,8,239.9
1512,3,2,28,4,136.25
2164,2,2,18,2,124.74
1581,1,2,26,5,109.35
1012,2,2,5,2,93.19
3349,4,3,15,2,204.35
1059,4,3,1,6,147.32
4172,5,3,7,10,357.45
3843,5,1,16,9,296.58
4570,4,3,22,4,285.72
1970,4,2,1,6,188.77
1080,4,3,9,7,138.52
2794,2,2,27,6,196.62
3647,4,1,15,8,279.1
4749,3,2,5,4,294.95
2179,1,2,27,1,124.53
4006,4,2,1,7,325.46
3244,1,1,1,3,201.69
3856,2,3,25,6,253.88
4545,1,3,12,2,272.43
1743,2,1,23,9,163.76
3618,3,2,14,1,193.01
2641,2,3,30,6,193.1
3559,2,1,27,6,235.62
3459,5,3,1,5,253.26
2765,4,1,6,5,208.93
2979,4,2,2,1,188.7
2135,3,3,7,10,240.94
2257,3,1,22,5,171.76
4952,4,3,13,2,287.48
2570,5,3,23,7,234.15
3349,4,3,29,3,206.77
3751,5,3,22,4,237.22
4230,3,1,26,3,259.56
2989,1,2,21,3,193.37
2131,3,1,28,4,143.63
3316,3,1,6,5,227.81
1515,2,1,20,1,80.58
1848,2,2,6,4,150.67
3587,2,3,0,8,298.67
3339,2,3,16,10,287.98
835,5,3,8,7,155.11
1395,4,2,29,9,181.45
4046,1,3,20,5,259.3
1351,3,2,12,10,195.38
2187,5,3,20,4,183.8
2431,1,3,18,8,223.94
4246,5,1,20,9,316.7
2927,5,2,18,7,222.97
2068,3,1,24,7,190.85
4500,4,1,24,5,290.5
3238,2,1,21,4,202.44
3998,4,2,30,10,310.5
4413,3,2,16,1,271.2
1566,3,3,22,10,187.88
4880,3,1,22,10,343.47
2944,1,3,29,7,220.55
4607,4,1,9,1,271.65
3873,4,2,9,1,249.93
4469,5,2,3,5,311.52
3046,5,2,7,9,259.1
1253,5,1,21,6,160.86
2582,3,2,19,3,172.41
3274,4,1,19,3,199.82
3396,3,3,17,7,247.51
4685,1,1,13,6,305.11
1275,5,3,17,9,184.64
2125,3,1,27,6,175.2
3569,3,3,13,5,261.82
917,1,2,19,10,141.33
614,2,3,20,7,126.36
1116,4,2,23,1,77.11
4474,2,2,14,7,326.34
3767,5,3,21,3,250.84
1325,3,1,29,9,151.55
2016,1,1,30,6,134.55
3646,1,1,3,9,287.89
912,4,1,12,5,109.86
1228,2,1,26,7,130.84
3848,4,2,22,4,257.06
3308,3,1,7,7,261.0
1175,4,2,17,1,100.49
3965,1,2,11,7,264.0
3004,1,2,22,8,246.46
3467,5,3,30,5,239.56
3286,5,3,13,2,192.24
1622,3,2,1,5,141.82
4579,2,3,17,6,304.63
2071,4,1,23,2,126.26
2643,3,1,1,6,209.77
2187,5,2,30,6,190.73
4632,4,1,10,1,258.79
4351,5,2,8,1,251.61
3940,4,2,11,10,306.99
4266,2,1,16,3,249.52
2826,3,3,14,10,240.65
3414,4,1,24,10,275.84
4452,1,1,30,3,237.32
1095,1,2,16,4,97.36
1228,4,2,25,2,94.77
1865,4,2,28,9,206.85
4992,4,2,25,10,380.93
1198,1,3,17,7,127.22
895,1,3,21,7,141.18
4671,4,3,5,6,315.26
4860,5,2,16,3,299.73
3002,5,2,22,6,237.21
2319,2,2,23,8,226.9
1217,3,3,17,8,153.93
3282,5,2,7,9,265.63
4077,1,1,8,1,233.75
643,5,1,5,1,60.32
3640,2,2,4,3,224.38
4991,2,1,11,3,276.87
3438,3,1,24,10,275.31
4136,5,3,28,8,301.4
3722,1,2,27,10,292.36
1667,1,2,10,1,102.16
3116,4,3,24,2,188.99
1562,1,1,0,2,117.06
2656,3,1,10,3,179.35
3482,3,2,18,6,229.64
3794,1,1,8,1,213.9
1656,1,3,26,2,108.65
1232,4,3,1,1,117.01
4830,1,2,11,5,300.24
1453,4,3,3,7,165.23
3039,4,3,3,8,260.41
3824,1,2,17,10,303.74
3801,2,3,14,1,207.34
2042,2,3,18,7,180.7
1691,4,3,12,5,158.33
3493,1,1,18,10,263.16
3181,2,2,16,1,171.49
1717,1,2,5,3,128.08
2040,1,2,15,7,189.52
3736,1,1,23,10,287.47
2886,5,1,11,1,177.34
4219,1,2,18,7,276.64
1888,5,1,4,5,182.35
2356,4,2,16,1,152.14
1865,2,1,25,1,97.68
999,2,3,22,1,79.94
2180,2,3,25,9,214.1
1010,2,2,28,3,76.36
4812,2,1,0,5,303.59
1824,2,1,27,10,186.77
1655,2,3,26,9,208.09
2327,4,3,24,6,201.67
3641,1,1,23,9,271.42
3986,3,1,22,8,292.03
2310,5,1,9,8,233.79
3423,3,1,14,1,192.32
2714,3,1,22,9,227.8
4686,1,1,20,6,301.74
1213,1,2,20,9,151.9
4102,1,1,10,3,228.4
4634,2,3,12,3,265.05
4022,4,2,4,6,302.39
4768,2,1,0,9,343.72
1743,4,3,23,7,171.75
4209,4,2,11,3,260.61
1581,3,3,10,3,139.12
955,3,1,16,2,75.82
1394,4,1,3,9,167.71
1884,4,1,14,3,144.46
2458,2,1,24,5,186.98
3572,2,2,29,9,283.51
2496,3,2,8,8,218.21
4785,1,3,20,2,278.94
1004,4,1,19,3,96.83
1714,2,3,18,2,131.11
2031,3,2,18,8,201.29
3940,2,1,11,6,250.28
1323,4,1,4,6,165.62
1428,4,2,9,9,185.42
633,5,2,16,8,142.42
2605,1,2,4,4,167.81
4127,5,2,21,4,273.9
2352,3,2,15,9,234.13
4675,2,1,6,1,274.1
3433,3,2,27,2,215.15
3784,4,1,8,2,234.74
4798,5,1,2,6,312.46
3311,5,2,14,4,232.87
1750,5,2,15,10,207.07
4012,3,1,17,3,243.45
1756,4,2,13,3,127.14
3876,2,2,2,3,238.7
3986,2,2,11,6,266.63
4084,3,3,8,8,301.72
1896,5,1,27,7,174.92
4137,1,3,6,4,259.49
3830,3,2,8,4,253.36
3203,3,3,12,10,256.17
970,4,2,17,2,64.24
1853,2,3,4,1,119.26
3283,3,2,12,9,269.17
3331,3,3,3,2,213.94
857,5,3,30,8,137.57
3519,5,3,1,9,302.54
1167,1,1,15,4,101.12
4968,4,3,8,8,349.05
1645,1,1,8,9,187.38
4685,5,2,5,10,366.52
4219,2,3,10,10,333.42
3245,5,2,21,5,235.44
1039,4,2,23,7,159.49
3279,5,3,21,10,296.41
4636,4,1,0,4,290.92
4275,4,3,3,1,262.46
3008,4,2,12,3,186.02
3279,4,2,22,5,232.15
1424,4,3,12,3,130.39
3456,2,1,12,7,252.11
2081,1,1,1,9,199.21
3824,3,2,8,6,260.08
4985,1,2,23,10,342.86
755,4,1,7,1,69.27
2338,2,3,6,7,194.76
2444,5,2,3,3,201.4
509,2,1,17,5,54.54
3371,4,2,2,10,292.32
1297,2,3,27,4,114.45
1515,2,1,5,10,192.32
2324,4,2,11,5,179.54
4969,2,3,11,5,326.29
3636,3,2,20,6,240.86
2693,3,3,27,10,242.49
723,2,3,7,10,160.86
4658,5,1,21,6,321.8
4425,4,3,21,8,308.71
4500,3,2,0,8,354.45
2133,5,3,3,9,223.18
2652,2,3,20,8,211.48
1010,5,1,27,2,91.03
884,1,3,10,10,152.72
904,3,3,2,1,76.24
2500,2,2,12,10,242.96
3256,4,1,24,2,179.53
2168,2,1,16,2,117.38
1960,4,1,21,3,135.53
4136,2,3,21,10,329.08
3224,5,1,9,7,250.16
4678,5,3,20,2,296.89
2548,5,3,11,1,180.91
4646,1,2,14,6,301.13
1216,4,2,20,9,172.2
2323,5,2,9,3,177.47
2581,1,2,13,6,197.15
3919,4,2,12,3,244.29
2074,2,3,4,1,131.2
749,1,3,5,5,91.25
1173,3,1,23,10,144.05
2665,1,3,1,4,200.79
1270,1,3,21,7,141.57
4462,4,2,16,6,303.16
4863,2,3,3,10,367.63
2484,3,2,13,7,202.42
1577,5,1,9,5,143.34
735,5,1,2,4,101.91
888,1,3,24,7,133.08
3537,4,1,2,7,258.16
2348,4,3,14,6,176.13
3314,5,1,5,8,266.99
3874,3,2,16,4,260.13
3778,2,2,11,10,284.07
1752,3,2,21,5,138.3
4481,2,2,19,4,275.19
2622,5,3,23,1,192.3
2650,2,1,28,8,198.92
1829,4,3,10,1,114.48
1858,1,2,24,5,147.29
2982,1,3,3,6,236.65
2517,5,1,25,6,196.11
1831,4,3,27,5,143.84
4844,3,1,25,3,283.04
4761,4,3,5,5,323.7
1858,1,1,0,8,199.69
3677,1,1,19,2,209.92
2628,4,2,22,6,216.68
2680,4,1,27,9,231.88
637,1,2,15,8,141.77
3972,3,2,14,8,290.62
3332,5,2,16,8,265.48
4079,5,3,7,7,325.55
3531,4,3,27,8,260.31
4664,5,3,25,6,299.23
3093,1,3,11,2,187.35
4800,1,1,26,2,255.98
4318,4,1,21,8,307.12
4638,4,3,20,1,273.84
4323,4,1,9,6,286.57
4542,3,1,26,6,293.74
2406,5,2,14,4,182.7
1260,4,2,29,10,167.59
3945,2,2,8,3,240.63
1399,2,2,1,3,125.98
4955,1,1,4,1,285.96
3447,5,3,5,3,242.64
2219,4,1,6,4,146.84
780,2,1,20,5,92.62
3766,5,1,24,3,235.8
2387,1,2,0,6,201.71
3766,3,2,22,5,252.15
1166,5,2,25,3,121.33
4688,5,3,6,6,332.32
1171,3,1,19,6,143.64
2469,5,3,24,8,224.06
4656,1,2,29,2,252.74
3622,1,3,11,1,210.87
4400,3,1,15,4,265.78
1023,4,1,15,7,129.75
2893,2,2,10,10,251.36
3617,4,2,20,3,221.36
3093,5,3,3,3,225.38
2468,2,2,12,5,167.05
2253,3,2,6,5,167.09
2796,3,1,3,10,275.93
2761,2,2,14,3,171.8
2786,1,2,18,9,235.3
4702,2,1,8,4,270.21
3378,5,1,10,3,223.84
4643,1,3,7,2,258.46
4144,3,2,0,10,314.57
4932,2,1,22,9,352.97
2555,4,3,24,4,199.58
1776,4,3,23,3,138.23
3266,5,2,7,7,272.79
802,4,2,12,8,161.13
1138,2,3,21,2,95.94
555,2,1,26,7,103.55
1025,4,3,3,5,133.74
4623,2,2,7,5,302.14
2625,5,1,2,3,185.61
3787,1,1,28,5,231.58
864,5,3,8,2,100.71
2146,5,2,28,4,161.56
1418,2,3,1,6,148.74
3297,1,3,1,1,191.35
2031,2,3,27,10,221.56
3845,3,1,12,4,233.92
2406,2,1,14,6,194.89
3586,2,2,27,9,281.72
2575,2,2,22,2,163.61
1213,1,3,11,7,134.08
1562,2,3,25,6,130.67
2476,1,3,3,2,164.9
1796,4,2,25,8,187.18
625,3,1,7,7,126.79
4096,1,1,8,5,252.79
3783,4,3,22,5,267.75
2103,1,3,4,7,200.69
566,1,3,23,9,122.85
732,3,3,19,9,148.27
2656,5,2,17,9,251.12
1669,5,1,10,6,159.24
2658,1,3,14,10,248.21
4706,2,2,27,6,316.02
1993,4,3,21,3,151.37
4507,2,3,8,1,238.74
2972,2,1,16,7,217.73
3160,1,3,26,4,184.21
3239,1,1,25,1,181.35
2261,1,1,11,8,204.19
4014,1,1,6,6,261.69
2475,5,2,9,6,198.07
2862,1,2,24,2,155.77
1376,5,1,25,1,88.92
4312,5,3,24,2,261.69
3948,1,1,9,4,242.66
1812,3,3,26,2,138.01
1960,4,1,12,1,119.07
3209,2,3,18,7,228.37
2824,5,2,10,8,237.63
2233,4,3,12,6,197.42
2105,3,1,20,4,146.96
3063,2,2,7,6,224.73
3921,2,3,7,3,240.01
4017,5,3,3,8,326.25
2897,1,3,14,10,248.98
4235,3,3,30,2,239.98
3370,5,3,27,5,249.17
1660,3,2,10,1,105.35
742,1,2,10,6,109.33
3090,1,2,0,2,190.81
1563,5,2,16,4,144.57
4824,1,1,14,6,291.86
3095,4,2,19,10,285.55
1419,2,3,5,8,192.66
505,5,3,23,8,130.84
967,3,2,21,6,110.39
4670,4,3,27,4,292.29
503,5,2,24,8,136.05
1145,1,3,14,8,141.1
617,1,1,30,10,123.56
3428,1,1,8,1,189.81
3051,1,2,13,4,211.08
4789,3,2,17,4,301.7
1346,4,2,25,7,160.97
3262,2,3,16,7,242.84
1641,3,2,17,8,180.57
2310,3,1,4,5,175.28
1223,2,3,19,7,152.11
724,2,2,19,8,136.21
4708,1,3,8,9,343.93
2548,3,3,10,3,175.73
4915,5,2,23,3,295.21
2073,2,3,21,4,173.22
2328,2,1,0,5,176.89
2417,4,1,17,10,246.85
4734,5,3,5,1,284.59
2526,5,2,26,7,212.96
4244,2,3,1,9,310.25
1401,1,1,14,8,154.17
2539,4,3,28,5,195.86
509,5,3,25,4,108.02
760,2,1,20,7,103.4
2173,5,3,13,5,212.1
2719,4,3,4,7,239.74
2560,4,2,5,1,167.28
4213,3,2,5,1,235.22
2119,2,1,29,10,208.6
820,4,1,21,3,89.23
1842,3,1,29,2,125.97
2876,3,2,17,2,168.52
3332,5,1,13,7,273.17
3324,5,1,9,10,294.31
2494,3,1,13,2,163.28
3458,5,2,12,4,237.69
2538,4,3,30,2,154.62
3990,1,1,29,6,254.73
4177,4,3,2,8,321.72
1618,3,1,29,10,171.55
2104,3,3,5,4,177.63
4527,4,2,28,5,300.32
735,5,2,7,4,98.95
2469,5,1,11,3,166.72
4929,3,3,12,5,314.42
2408,2,2,10,9,223.64
875,5,1,11,8,144.61
4030,4,1,0,8,304.89
3135,5,2,16,8,263.96
2070,4,2,15,8,190.32
3060,3,1,10,7,224.47
3891,5,3,12,8,278.33
3465,4,3,17,8,286.18
4143,3,3,10,8,309.3
4350,2,1,30,10,326.98
1372,4,2,27,7,141.72
1752,2,1,11,1,106.34
1814,2,2,5,4,148.35
3398,1,3,8,4,217.28
577,5,3,15,5,92.82
3121,4,2,3,10,300.01
4727,2,2,2,6,327.34
1100,1,1,27,4,86.68
1565,3,3,15,2,122.85
2636,4,1,23,6,199.45
2949,2,1,26,8,218.5
2843,5,1,25,8,256.92
2363,1,3,29,7,174.1
1818,2,1,24,6,150.04
4097,5,1,11,2,249.19
4262,2,1,10,7,308.61
2690,4,1,4,5,215.47
1492,4,1,24,6,129.88
3212,4,1,17,10,276.07
2692,1,3,18,8,222.81
1748,4,1,22,8,178.12
3554,5,2,22,3,235.9
4533,2,1,5,7,294.06
2497,3,1,21,1,139.26
4187,5,3,17,1,252.64
2651,5,3,25,7,233.85
4518,4,2,5,10,352.89
3610,1,2,3,9,279.12
2470,2,3,11,7,208.8
697,1,3,18,10,150.25
3126,2,1,28,5,206.64
1702,2,3,26,8,163.68
2535,1,2,28,2,133.42
977,5,1,1,9,152.45
1754,2,2,16,6,172.26
1422,1,1,10,9,173.17
919,2,3,10,2,81.89
2704,3,2,20,3,173.66
3097,5,1,15,8,250.61
1620,4,1,1,1,125.43
3568,2,3,1,10,318.94
1450,3,3,22,7,152.45
2836,4,3,7,7,251.68
2743,4,2,12,1,169.43
3145,2,1,9,9,254.63
2357,1,3,7,8,226.39
2365,2,2,29,4,161.65
3412,3,2,3,10,295.06
3353,4,2,14,5,241.13
3728,2,3,29,2,197.64
4219,1,3,0,9,320.83
3728,2,1,10,6,249.77
2871,5,1,6,3,185.34
3391,1,3,16,7,243.38
4256,3,2,26,9,307.55
4725,4,2,19,3,295.05
594,2,2,23,2,45.56
3174,1,1,17,7,221.3
2455,5,2,21,7,217.6
1293,1,1,28,4,86.39
2334,5,1,21,9,218.61
2616,3,2,11,8,211.66
4606,4,2,8,1,273.5
3825,3,3,4,1,223.24
3419,2,3,9,5,238.29
3097,1,2,3,6,235.51
3705,5,1,4,3,235.03
1314,5,1,27,9,168.08
845,1,1,27,10,127.19
2849,1,1,9,6,196.36
862,2,1,30,4,72.89
2943,3,3,10,7,234.23
2765,5,2,20,8,237.4
2688,2,3,23,9,237.79
3505,3,1,9,6,240.84
3781,2,1,27,6,252.75
1484,5,1,7,8,184.55
2139,1,1,1,5,160.77
1327,1,2,22,3,90.3
3230,3,1,7,3,207.85
4031,4,2,15,6,280.02
4951,3,1,26,2,275.75
3435,4,2,21,6,264.95
4376,2,3,4,6,299.49
626,2,1,26,8,105.91
3677,5,2,24,7,265.94
3556,4,3,28,8,267.28
1103,5,1,2,9,158.52
3949,1,1,11,6,270.28
4646,4,1,12,3,257.97
4033,3,2,12,10,323.53
3867,1,2,9,3,223.17
3868,1,3,3,1,213.78
4297,3,2,8,5,274.87
2292,1,2,21,4,171.56
3361,4,1,23,9,270.71
3976,5,1,22,9,314.7
3917,1,1,26,5,254.86
2145,4,1,1,10,232.38
1705,2,1,18,4,118.29
3530,4,1,0,7,268.29
3372,5,1,24,6,238.18
3572,4,3,28,4,231.56
2354,3,3,6,10,240.75
4521,5,3,16,2,273.71
3208,2,3,2,1,195.52
4002,3,1,19,4,255.17
1832,4,3,19,4,152.76
701,5,1,20,1,68.08
4007,2,3,29,6,262.36
4712,3,2,2,4,310.75
1074,2,3,2,1,79.04
1036,4,3,16,1,97.77
2125,2,1,6,1,112.49
2622,1,3,26,8,211.3
885,3,2,25,10,151.44
3781,2,1,13,8,279.34
974,4,1,16,2,93.32
917,4,3,17,7,126.86
4100,2,1,12,8,281.92
1454,4,1,19,8,153.18
1705,5,1,28,10,213.45
4620,5,1,19,7,323.48
2490,5,1,20,5,182.66
4072,1,1,26,1,205.17
4880,2,2,17,9,355.32
4658,1,3,3,7,315.62
3213,4,2,0,2,205.28
2703,1,1,17,6,187.84
3620,4,1,0,2,214.75
1466,4,3,25,1,114.63
3932,3,2,25,7,293.84
1188,5,3,12,2,100.55
4743,4,2,19,2,289.7
4201,3,1,19,5,264.68
841,5,3,22,5,123.39
2224,4,3,9,7,222.8
4922,4,1,26,1,265.65
2292,1,3,10,8,203.32
2259,1,2,8,3,159.96
3712,5,2,8,4,243.5
1489,4,2,4,9,201.92
2762,2,2,25,4,185.03
2982,1,1,0,10,252.32
1451,5,3,16,5,145.51
1222,4,2,21,7,134.77
3889,4,1,1,4,252.59
2579,2,3,23,1,146.81
3217,5,3,12,9,271.24
2832,4,1,8,4,201.15
3876,1,1,28,9,283.53
